State,AssessmentFeeId,Value,EffDate
CA,1,0,1/1/2021
CA,2,0.004734,1/1/2021
CA,3,0.002584,1/1/2021
CA,4,0.002272,1/1/2021
CA,5,0.006579,1/1/2021
CA,6,0.000775,1/1/2021
CA,7,0.022646,1/1/2021
FL,8,0,1/1/2021
IL,9,0.0101,1/1/2021
PA,10,0.0202,1/1/2021
IN,11,0.0097,1/1/2021
NJ,12,0.0522,1/1/2021
NJ,13,0,1/1/2021
KY,14,0.0641,1/1/2021
MN,15,0.036,1/1/2021
MO,16,0.05,1/1/2021
CA,1,0,4/1/2022
CA,2,0.004734,4/1/2022
CA,3,0.002584,4/1/2022
CA,4,0.002272,4/1/2022
CA,5,0.006579,4/1/2022
CA,6,0.000775,4/1/2022
CA,7,0.022646,4/1/2022
FL,8,0,4/1/2022
IL,9,0.0101,4/1/2022
PA,10,0.0248,4/1/2022
IN,11,0.0097,4/1/2022
NJ,12,0.0522,4/1/2022
NJ,13,0,4/1/2022
KY,14,0.0702,4/1/2022
MN,15,0.036,4/1/2022
MO,16,0.05,4/1/2022
